model,iterations,mutation_models,Output_difference_PyTorch_TensorFlow,,,,,,
lstm2,1,lstm2-price_origin_0,-1,,,,,,
vgg19,1,vgg19-imagenet_origin_0,2.32831E-07,,,,,,
vgg16,1,vgg16-imagenet_origin_0,4.07454E-07,,,,,,
xception,1,xception-imagenet_origin_0,5.23869E-07,,,,,,
lstm0,1,lstm0-sinewave_origin_0,5.23869E-07,,,,,,
alexnet,1,alexnet-cifar10_origin_0,3.72529E-07,,,,,,
mobilenet,1,mobilenet.1.00.224-imagenet_origin_0,2.2701E-06,,,,,,
inceptionv3,1,inception.v3-imagenet_origin_0,5.82077E-07,,,,,,
densenet,1,densenet121-imagenet_origin_0,2.91038E-07,,,,,,
resnet50,1,resnet50-imagenet_origin_0,2.91038E-07,,,,,,
lenet5_mnist,1,lenet5-mnist_origin_0,3.35276E-07,,,,,,
lenet5-fashion-mnist,1,lenet5-fashion-mnist_origin_0,2.23517E-07,,,,,,