model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,4.507388,4.5269637,7.9069657
resnet50,10,5.4930487,6.457165,4.164544
resnet50,15,370.46918,59.51081,362.1723
resnet50,20,1378.3202,95.06447,1354.4564
resnet50,25,1378.3202,131.81886,1355.1781
resnet50,30,138.30774,281.43903,329.64777
resnet50,35,136.21588,1998.2041,2006.1031
resnet50,40,136.21588,95300.125,95275.98
resnet50,45,136.21588,1405143.5,1405119.4
resnet50,50,136.21588,4440516.5,4440525.0
resnet50,55,136.18997,13744659.0,13744723.0
resnet50,60,136.18924,20840230.0,20840348.0
resnet50,65,274.07336,5835920.0,5836118.5
resnet50,70,12583.612,480.737,12850.425
resnet50,75,12583.612,306.7257,12780.207
resnet50,80,173497.16,218.77121,173557.47
resnet50,85,1552833.1,253.84085,1552810.2
resnet50,90,1552754.0,97.638336,1552740.2
resnet50,95,1552754.0,95168300.0,94533690.0
resnet50,100,1552754.0,2781970000.0,2781039000.0
unet,2,3.3617883,3.2363248,2.7235458
unet,4,654.1814,1098.5736,455.34238
unet,6,60065.08,79692.85,24075.895
unet,8,864161400.0,2406488000.0,1542326300.0
unet,10,46674900000.0,3.408627,46674900000.0
unet,12,46674900000.0,4.209374,46674900000.0
unet,14,46663460000.0,0.66494286,46663460000.0
unet,16,2941552800000000.0,1230.5999,2941552800000000.0
unet,18,4.8946634e+20,0.18276823,4.8946634e+20
unet,20,4.8944804e+20,231.81197,4.8944804e+20
unet,22,,,
unet,24,,,
unet,26,7.6731325e+27,,
unet,28,7.6731325e+27,,
unet,30,1.0431843999999999e+30,,
unet,32,1.0140530000000001e+32,,
unet,34,inf,,
unet,36,inf,,
unet,38,inf,,
unet,40,inf,,
SSDresnet50fpn,5,8.989844e-05,0.50004953,0.5000477
SSDresnet50fpn,10,8.989844e-05,0.50004953,0.5000477
SSDresnet50fpn,15,0.002087276,0.4994143,0.49937698
SSDresnet50fpn,20,0.023742598,0.50001335,0.49919248
SSDresnet50fpn,25,0.022705408,0.50011235,0.49919963
SSDresnet50fpn,30,0.07736701,0.49807408,0.49742427
SSDresnet50fpn,35,0.07697718,0.4980141,0.49739355
SSDresnet50fpn,40,0.031656653,0.4996344,0.49708802
SSDresnet50fpn,45,0.09469106,0.49458647,0.49815106
SSDresnet50fpn,50,0.094691254,0.49458644,0.49815106
SSDresnet50fpn,55,0.094705924,0.49458045,0.4981511
SSDresnet50fpn,60,0.093673244,0.49836424,0.4973999
SSDresnet50fpn,65,0.093873255,0.49836043,0.4970568
SSDresnet50fpn,70,0.093873255,0.49836043,0.4970568
SSDresnet50fpn,75,0.09388073,0.49836355,0.49705487
SSDresnet50fpn,80,0.09388073,0.49836355,0.49705487
SSDresnet50fpn,85,0.09388057,0.49836436,0.49705586
SSDresnet50fpn,90,0.0950063,0.49779126,0.49705473
SSDresnet50fpn,95,0.09535141,0.49774793,0.49709815
SSDresnet50fpn,100,0.08883564,0.4994757,0.4973058
deeplabv3,5,1.9413332,-100.0,-100.0
deeplabv3,10,1.9442852,-100.0,-100.0
deeplabv3,15,660.0242,-100.0,-100.0
deeplabv3,20,1363.0485,-100.0,-100.0
deeplabv3,25,180118.45,-100.0,-100.0
deeplabv3,30,180117.67,-100.0,-100.0
deeplabv3,35,180185.47,-100.0,-100.0
deeplabv3,40,179943.17,-100.0,-100.0
deeplabv3,45,179943.19,-100.0,-100.0
deeplabv3,50,179942.17,-100.0,-100.0
deeplabv3,55,179527.25,-100.0,-100.0
deeplabv3,60,67910120.0,-100.0,-100.0
deeplabv3,65,67910120.0,-100.0,-100.0
deeplabv3,70,17910220000.0,-100.0,-100.0
deeplabv3,75,17828028000.0,-100.0,-100.0
deeplabv3,80,17828028000.0,-100.0,-100.0
deeplabv3,85,24120304000.0,-100.0,-100.0
deeplabv3,90,6174797700000.0,-100.0,-100.0
deeplabv3,95,4.0467154e+17,-100.0,-100.0
deeplabv3,100,4.046727e+17,-100.0,-100.0
patchcore,5,0.1566193,0.35220733,0.34647053
patchcore,10,0.7259938,1.0441453,1.1864594
patchcore,15,1.0034262,1.5707486,1.3500718
patchcore,20,26550.209,14912.236,34276.086
patchcore,25,41603.105,8357.989,48426.746
patchcore,30,11064415.0,524589.56,10890888.0
patchcore,35,320984060.0,515705.22,320783740.0
patchcore,40,320983800.0,515705.34,320783580.0
patchcore,45,1104434200.0,4809.6055,1104433400.0
patchcore,50,2431139000.0,4809.6123,2431137800.0
patchcore,55,2430306300.0,250.31921,2430306300.0
patchcore,60,9199033.0,314658.1,9341542.0
patchcore,65,164255100000000.0,885230000.0,164254510000000.0
patchcore,70,7.378262e+16,98165384.0,7.378262e+16
patchcore,75,2.063831e+18,177630500.0,2.063831e+18
patchcore,80,2.9744768e+16,100.07628,2.9744768e+16
patchcore,85,2.9744768e+16,100.3483,2.9744768e+16
patchcore,90,2.9744768e+16,100.283615,2.9744768e+16
patchcore,95,2.9740198e+16,100.27948,2.9740198e+16
patchcore,100,2.9739983e+16,100.297356,2.9739983e+16
textcnn,1,0.17669618,-100.0,-100.0
textcnn,2,12.922023,-100.0,-100.0
textcnn,3,8.474944,-100.0,-100.0
textcnn,4,12.18029,-100.0,-100.0
textcnn,5,345.59607,-100.0,-100.0
textcnn,6,353.2766,-100.0,-100.0
textcnn,7,7144.649,-100.0,-100.0
textcnn,8,6457.2964,-100.0,-100.0
textcnn,9,1873587.4,-100.0,-100.0
textcnn,10,2345442.0,-100.0,-100.0
SSDmobilenetv1,5,0.00015029793,0.49881637,0.49881315
SSDmobilenetv1,10,0.18184423,1.1521066,1.1515005
SSDmobilenetv1,15,0.17152677,1.1531931,1.1487628
SSDmobilenetv1,20,0.18341097,1.1497577,1.1459489
SSDmobilenetv1,25,0.16970928,1.1508319,1.1472687
SSDmobilenetv1,30,0.09218213,1.1553875,1.1554236
SSDmobilenetv1,35,0.09524612,1.1551199,1.1555119
SSDmobilenetv1,40,0.12779568,1.1542789,1.1558429
SSDmobilenetv1,45,0.13249838,1.1579595,1.1574174
SSDmobilenetv1,50,0.079360954,1.162662,1.1609318
SSDmobilenetv1,55,0.036905665,1.1539873,1.1558589
SSDmobilenetv1,60,0.047370546,1.2455628,1.2465637
SSDmobilenetv1,65,0.28720114,1.149829,1.2881105
SSDmobilenetv1,70,0.28680602,1.1496148,1.2881386
SSDmobilenetv1,75,0.3026486,1.1525444,1.2901697
SSDmobilenetv1,80,0.3026521,1.1525435,1.2901644
SSDmobilenetv1,85,0.302651,1.1525435,1.290162
SSDmobilenetv1,90,0.302651,1.1525435,1.290162
SSDmobilenetv1,95,0.30210823,1.1527026,1.2901117
SSDmobilenetv1,100,0.30210823,1.1527026,1.2901117
yolov3,5,0.36727947,-100.0,-100.0
yolov3,10,0.3747685,-100.0,-100.0
yolov3,15,0.37596208,-100.0,-100.0
yolov3,20,4.5348945,-100.0,-100.0
yolov3,25,105.59325,-100.0,-100.0
yolov3,30,23306.035,-100.0,-100.0
yolov3,35,23305.99,-100.0,-100.0
yolov3,40,23305.99,-100.0,-100.0
yolov3,45,23305.99,-100.0,-100.0
yolov3,50,52487012.0,-100.0,-100.0
yolov3,55,52487030.0,-100.0,-100.0
yolov3,60,525379200.0,-100.0,-100.0
yolov3,65,1303906000.0,-100.0,-100.0
yolov3,70,1504712300000.0,-100.0,-100.0
yolov3,75,868443700000000.0,-100.0,-100.0
yolov3,80,868347800000000.0,-100.0,-100.0
yolov3,85,868346150000000.0,-100.0,-100.0
yolov3,90,1.110685e+18,-100.0,-100.0
yolov3,95,4.619233e+18,-100.0,-100.0
yolov3,100,1.6744423e+22,-100.0,-100.0
ssimae,2,0.2143689,0.108371444,0.31504896
ssimae,4,0.14101581,0.12449499,0.24359481
ssimae,6,0.12965961,0.11291891,0.21590543
ssimae,8,0.12965961,0.11291891,0.21590543
ssimae,10,0.25720868,0.07589071,0.24190567
ssimae,12,0.17501323,0.012713176,0.1820196
ssimae,14,0.13734944,0.018714905,0.15585072
ssimae,16,0.8635449,0.047566984,0.91057223
ssimae,18,1.7228079,0.16792716,1.810795
ssimae,20,1.1620623,0.12545939,1.1478962
ssimae,22,1.156602,0.19185238,1.1768785
ssimae,24,1.1588992,0.15339391,1.1960117
ssimae,26,1.861796,2.088206e-06,1.8617978
ssimae,28,1.861796,2.0882476e-06,1.8617978
ssimae,30,1.8609978,0.000407537,1.8614035
ssimae,32,1.0304492,1.0276591e-06,1.0304487
ssimae,34,1.0304492,9.977557e-07,1.0304487
ssimae,36,1.0304492,9.964905e-07,1.0304487
ssimae,38,322.86795,0.007924056,322.87027
ssimae,40,327.22324,0.0074288254,327.22464
openpose,5,10293.8,0.016208893,10293.794
openpose,10,277851230.0,0.80431765,277851230.0
openpose,15,419352830.0,0.014730192,419352830.0
openpose,20,432532740.0,4.938388e-07,432532740.0
openpose,25,442347100.0,1.7743538e-05,442347100.0
openpose,30,23407245000.0,4.797906e-05,23407245000.0
openpose,35,21938661000.0,6.337672e-08,21938661000.0
openpose,40,53522300000.0,1.7488994e-09,53522300000.0
openpose,45,49857266000.0,1.8202531e-09,49857266000.0
openpose,50,6096050600000000.0,3.666587e-09,6096050600000000.0
openpose,55,6096049000000000.0,1.5210553e-09,6096049000000000.0
openpose,60,6096049000000000.0,9.349478e-10,6096049000000000.0
openpose,65,299521250000000.0,9.570067e-10,299521250000000.0
openpose,70,3.7033738e+16,1.0194968e-06,3.7033738e+16
openpose,75,3.7032363e+16,9.570067e-10,3.7032363e+16
openpose,80,3.7032363e+16,1.3887892e-09,3.7032363e+16
openpose,85,3.5115059e+19,1.5265971e-07,3.5115059e+19
openpose,90,2.6866478e+23,1.6905453e-05,2.6866478e+23
openpose,95,1.3074028e+27,0.00024015307,1.3074028e+27
openpose,100,1.3077443e+27,0.00024015356,1.3077443e+27
vgg16,2,3.0570474,2.3811443,3.8498778
vgg16,4,2.4542098,3.8657994,1.6374285
vgg16,6,139.88982,12.124346,127.76549
vgg16,8,557.22815,11.337023,545.8911
vgg16,10,557.22815,7.5186453,549.7095
vgg16,12,557.22815,6.3109517,550.9172
vgg16,14,557.22815,8.410706,548.8175
vgg16,16,557.22815,10.944807,546.2833
vgg16,18,1832.4805,37.09404,1795.9147
vgg16,20,1832.4805,11.383158,1821.097
vgg16,22,1832.4805,23.260468,1809.2201
vgg16,24,1832.4805,31.955845,1800.5247
vgg16,26,1832.4714,324.0901,1549.9456
vgg16,28,1832.4714,59.30083,1773.1703
vgg16,30,1832.4714,1.6509159,1834.1185
vgg16,32,1832.4714,2.638804,1830.053
vgg16,34,1832.4714,0.39992124,1832.524
vgg16,36,1832.4714,0.85649043,1832.5541
vgg16,38,1832.4714,0.8600976,1832.5697
vgg16,40,1832.4714,1.411768,1833.6656
